Restore	載入
You pull the ticket and the license out of the computer.	你從電腦上取出罰單和駕照。
The blip has stopped on the freeway.	雷達信號在高速公路上停下來了。
Up ahead you see a car overturned in the middle of the freeway.   You slow to a stop.	前面你看到一輛車在高速公路中央翻覆。你減速停下。
Up ahead you see a car overturned on the other side of the freeway.  You turn around and slow to a stop.	前面你看到一輛車在高速公路的另一邊翻覆。你掉頭減速停下。
Dispatch says..."64 David."	勤務中心說...「64 David。」
Morales responds..."This is 64 David, go ahead with your traffic."	Morales 回應...「這是 64 David，請說你的勤務內容。」
"Respond to an 11-44, west bound on the freeway just east of the Lilly off ramp."	「前往一件 11-44，高速公路西向，Lilly 出口東側。」
Continuing she says..."Be advised this is your possible suspect vehicle."	她繼續說...「請注意，這可能是你們的嫌犯車輛。」
Your partner acknowledges the call and says... "Get this puppy rolling Bonds!"	你的搭檔確認收到，說...「讓這台車動起來，Bonds！」
You have failed to respond to the Freeway accident in a reasonable amount of time.	你沒有在合理的時間內趕到高速公路事故現場。
Another case of dereliction of duty!	又是一次失職！
The engine must be running to use the tracker.	引擎必須發動才能使用追蹤器。
Pat places the portable red light on the dash.	Pat 把便攜式紅燈放在儀表板上。
Turning the engine off while you're moving is not a good idea, Sonny.	邊走邊關引擎不是好主意，Sonny。
You need to return the driver's license first.	你需要先把駕照還回去。
You left the drunk standing by his car in your handcuffs!	你把那個醉漢留在他車邊，戴著手銬！
Better wait for your partner.	等等你的搭檔吧。
You must have forgotten about being temporarily assigned to traffic division.  You'll have to drive the black and white today, Sonny.	你一定忘了被臨時派到交通組的事。今天你得開黑白車，Sonny。
You're a homicide detective now. You don't drive a black and white anymore.	你現在是命案警探了。不用再開黑白車了。
You already have the ticket.	你已經有罰單了。
A ticket isn't going to keep this guy from killing someone on the road.  You're going to have to take him downtown.	罰單阻止不了他在路上殺人。你得把他帶去局裡。
You insert the driver's license into the slot.   This activates the computer.	你把駕照插進卡槽。電腦啟動了。
It's your partner Pat Morales.	是你的搭檔 Pat Morales。
It's your buddy Mr. Loony tunes!	是你的老友瘋子先生！
It's your buddy Mr."But I only had one beer!"	是你的老友「只喝一杯」先生！
Morales says..."Some day, eh, Sonny?"	Pat Morales 說：「有一天，嗯，Sonny？」
Morales teasingly says..."Ya drive like my Grandma, Bonds."	Pat Morales 戲謔地說：「你開車像我奶奶，Bonds。」
Morales says..."Ya tryin' ta rack up points for pedestrians, or what, Bonds?"	Pat Morales 說：「你想為行人累積紀錄嗎，或其他什麼，Bonds？」
Morales says..."If ya want me to drive, jus' holler."	Pat Morales 說：「如果你要我開，就喊一聲。」
Excitedly, Morales says..."Did ya see that gorgeous hunka man back there?"	Pat Morales 興奮地說：「你看到後面那個帥哥了嗎？」
Out of his head, the prisoner says..."Cold!   I'm so f@!#ing cold!  Who let the fire go out, for C#$%@ sake?"	酒醉不清的嫌犯說：「冷！我他媽的冷死了！誰把火滅了，該死的！」
Deliriously, the prisoner says..."I wasn't doin' nothin'.  I wasn't the one!  Oh, no, don't look at me!"	神志不清的嫌犯說：「我沒幹什麼。不是我！哦，不，別看我！」
The prisoner rambles incoherently..."Don't put that on me.  I ain't got nuthin', I told yas."	嫌犯胡亂咕噥：「別把這個栽在我身上。我什麼都沒有，我告訴你們了。」
The driver says..."This isn't nessethary, Occifer.  I'm perfectedly fine."	駕駛說：「這沒必要，警官。我完全沒事。」
The driver says..."This isn't nessethary occifer.  I'm perfectedly fine."	駕駛說：「這沒必要警官。我完全沒事。」
The driver says..."Could you schlow it down, pleasse, Doc?  My head is schpinning."	駕駛說：「能不能慢一點，醫生？我頭在轉。」
The driver says..."We juss passsed my place there.  Maybe you could juss drop me off...?"	駕駛說：「我們剛過我的地方。也許你能放我下車...？」
Pat's purse rests between the seats.  She keeps a key attached to the handle.	Pat 的皮包放在座位中間。她在提手上掛著一把鑰匙。
You can't just take the key with Pat sitting there.	你不能在 Pat 坐在那裡的時候拿走那把鑰匙。
You already have the key.  Don't mess with her purse anymore.	你已經有那把鑰匙了。別再亂動她的皮包。
You take the key, knowing that it'll have to be returned before Morales notices that it's gone.	你拿走鑰匙，心想得在 Morales 發現之前把它放回去。
In the nick of time, you replace Morales' key and hope she doesn't notice anything funny.	你及時把 Morales 的鑰匙放回去，希望她沒發現什麼奇怪的地方。
Since you have reached the end of your jurisdiction, you turn around and head in the other direction.	既然你已經到了轄區的邊界，你掉頭往另一個方向走。
The car continues on its way.	車子繼續往前開。
You'd better get to that Aspen Falls call.	你最好趕快去 Aspen Falls 的案件。
You have failed to respond to Aspen Falls in a reasonable amount of time.	你沒有及時趕往 Aspen Falls。
DISPATCH: "64S2 Lytton- Officer requesting supervisor at freeway stop." 	勤務中心：「64S2 Lytton，警員在高速公路攔查處請求主管支援。」
SONNY: "Lytton 64S2 copied- Responding to freeway." 	Sonny：「Lytton 64S2 收到，前往高速公路。」
Better hurry, Bonds!	快點，Bonds！
Better get to the freeway!  You've got an officer waiting on you.	趕快到高速公路！有一位警員在等你。
You have failed to respond to the Freeway stop in a reasonable amount of time.	你沒有及時趕到高速公路攔查處。
Up ahead you see a black and white pulled off the freeway along with the detained vehicle.  You slow down and pull to the side.	前面你看到一輛警車停在高速公路邊，旁邊還有被截停的車輛。你減速靠邊停下。
The drunk, assuming you no longer wish to detain him, drives away.	那個醉漢以為你不想再扣他，開車離開了。
DISPATCH: "64S2 Lytton."	勤務中心：「64S2 Lytton。」
SONNY: "Lytton, 64S2 go ahead."	Sonny：「Lytton，64S2 請說。」
DISPATCH: "Respond to an assault at the Oak Tree Mall, 300 east Rose, S2."	勤務中心：「請前往 Oak Tree Mall 300 east Rose 處理毆打案件，S2。」
SONNY: "10-4."	Sonny：「收到。」
The radio comes to life again:	無線電又響起：
DISPATCH: "64 S2 Lytton."	勤務中心：「64 S2 Lytton。」
SONNY: "Lytton, 64 S2 go ahead."	Sonny：「Lytton，64 S2 請說。」
DISPATCH: "Respond to an assault at the Oak Tree Mall, S2."	勤務中心：「請前往 Oak Tree Mall 處理毆打案件，S2。」
You have failed to respond to Oak Tree Mall in a reasonable amount of time.	你沒有及時趕往 Oak Tree Mall。
*** the radio sez: go to the hospital.	◆無線電說：去醫院。
*** You better get to the hospital.	◆你最好趕快去醫院。
You decide not to go to the hospital to see Marie.  The events of the day drained all your energy.  You head for home and try to get some rest.	你決定不去醫院看 Marie。今天發生的事讓你精疲力盡。你回家試著休息一下。
Sonny:  "This Carla Reed lives on 325 South Second.  That's not a residential area.  This better not be someone's idea of a joke."	Sonny：「這個 Carla Reed 住在南二街 325 號。那不是住宅區。這最好不是什麼人的惡作劇。」
Morales:  "325 South Second!   That's just a bunch of old abandoned warehouses!"	Pat Morales：「南二街 325 號！那只是一堆舊廢棄倉庫！」
Morales:  "I thought we were going to check out this Reed chick on 325 South Second!"	Pat Morales：「我以為我們要去查 325 South Second 的這個 Reed 妞！」
Morales:  "Better not keep Judge Simpson waiting, Bonds."	Pat Morales：「別讓 Judge Simpson 等著，Bonds。」
Morales:  "HEY!  You gotta date with the judge, pal!  Better get the lead out and get to the court house."	Pat Morales：「嘿！你和法官有約，老兄！最好加快速度去法院。」
Morales:  "Well, it's too late, the trial's over by now."	Pat Morales：「嗯，太晚了，審判現在已經結束了。」
The radio comes alive..."64 David, Lytton."	無線電響起：「64 David，Lytton。」
Morales says..."This is 64 David, go ahead."	Pat Morales 說：「這是 64 David，請說。」
Dispatch comes back and says..."187 in alley 300 block of west Rose.  One traffic unit is 10-97"	勤務中心說：「west Rose 300 號街區發現 187 命案。有一個交通單位 10-97。」
Morales confirms the call..."Lytton, 64 David copies and we are responding."	Pat Morales 確認呼叫：「Lytton，64 David 收到，我們正在前往。」
"Well, you heard it, boss man!" she says... "Let's roll!"	「嗯，你聽到了，老大！」她說...「我們出發！」
Morales:  "Hey Bonds!  You want me to drive us to the murder scene or what?  Get out the map!"	Pat Morales：「嘿，Bonds！你要不要我開車去命案現場？把地圖拿出來！」
You have failed to report to the murder scene in a reasonable amount of time.	你沒有及時趕往命案現場。
Sonny:  "According to the crime pattern, this serial killer will probably strike next somewhere around 200 East Palm."	Sonny：「根據犯罪模式，這個連續殺人犯下一次可能會在 200 East Palm 附近作案。」
Morales:  "As I recall, the only buildings on the 200 block of East Palm are some warehouses and the Nugget Saloon."	Pat Morales：「據我所知，East Palm 200 號街區只有一些倉庫和 Nugget Saloon。」
Morales:  "Hey!  I thought we were going to check out 200 East Palm!"	Pat Morales：「嘿！我以為我們要去查 200 East Palm！」
Morales:  "So... we gonna pay the coroner a visit or just cruise all day?"	Pat Morales：「那...我們要去見法醫，還是就這樣亂開？」
Dispatch:  "Attention all units... there is a structure fire at 500 west Peach Ave. Any units in the vicinity please respond for crowd control assistance."	勤務中心：「各單位請注意...500 west Peach Ave 發生建築火災。附近的單位請前往協助人群管制。」
Morales:  "Hey!  That's just a few blocks from here.  Let's go to the weenie roast!"	Pat Morales：「嘿！就在幾條街外。讓我們去看火災現場吧！」
Morales gets on the radio and informs dispatch that you are on the way.	Pat Morales 拿起無線電，通知勤務中心你們正在前往。
Morales:  "Geez Sonny!  They're gonna have the fire out before we ever get there.  Maybe you should stop and look at the map."	Pat Morales：「天啊，Sonny！在我們到達之前他們就把火滅了。也許你應該停下來看一下地圖。」
You have failed to reach the burning house in a reasonable amount of time.	你沒有及時趕到著火的房子。
Morales:  "Are we going somewhere, or just joy ridin'?"	Pat Morales：「我們要去什麼地方，還是只是兜風？」
Sonny picks up the mike:  "Lytton 64 S2..."	Sonny 拿起麥克風：「Lytton 64 S2...」
Dispatch:  "64 S2 Lytton go ahead..."	勤務中心：「64 S2 Lytton 請說...」
Sonny:  "Requesting assistance in gaining access to a suspected crack house.  Will need the ram unit and backup at 522 West Palm, over."	Sonny：「請求協助進入疑似毒品屋。將需要破門車和備援在 522 West Palm，完畢。」
Dispatch:  "10-4, Sonny!  They're on their way."	勤務中心：「收到，Sonny！他們在路上。」
Sonny:  "I think I've got enough evidence to obtain a search warrant."	Sonny：「我認為我有足夠的證物來申請搜索票。」
Morales:  "If you want that warrant, Bonds... you're going to half to see da judge."	Pat Morales：「如果你想要搜索票，Bonds...你得去見法官。」
You notice Morales checking her watch.  She suddenly says...	你注意到 Pat Morales 在看她的表。她突然說...
Yo, Sonny.  Drive me over to the mall real quick, would ya?   I gotta make a phone call.	嘿，Sonny。能快點送我去商場嗎？我得打個電話。
Grudgingly, you drive Morales to the mall.	你勉強地開車送 Pat Morales 到商場。
Sit tight, boss!  I'll only be a minute.	坐好了，老大！我只要一分鐘。
She seems in an awful hurry this time.  She's even neglected to take her purse with her.	這一次她看起來匆忙得要死。她甚至忘了帶她的皮包。
You notice that she's careful to take her purse with her.	你注意到她小心地帶上了她的皮包。
See!  I'm back!  Let's go!	看吧！我回來了！我們走！
Noticing her key missing, Pat says...	發現鑰匙不見了，Pat 說...
Hey!  What the.. where's my key.  Whatcha doin' messing with my purse, Bonds?	嘿！什麼...我的鑰匙呢？你在幹什麼翻我的皮包，Bonds？
BUSTED!  You die of embarrasment	被抓到了！你因為尷尬而死。
So ends another shift.  You drop Pat off at the station and head home.	又一個班次結束了。你在警局放下 Pat，然後開回家。
With nothing further to do, you head back to the station.	沒有其他事要做，你回到警局。
You're not allowed up there.	你不被允許上樓。
You patriotically salute the flag.	你愛國地向旗敬禮。
You're happy with the seat you have.	你對自己坐的座位很滿意。
Evidence added to case no: 199145	證物已添加至案號 199145
The %s looks ok.	%s 看起來沒問題。
The %s is way\ntoo high.	%s 太\n高了。
The %s is way\ntoo low	%s 太\n低了。
The %s is way\ntoo left	%s 太\n左邊了。
The %s is way\ntoo right	%s 太\n右邊了。
The %s is a\nlittle too high.	%s 稍微\n太高了。
The %s is a\nlittle too low	%s 稍微\n太低了。
The %s is a\nlittle too left	%s 稍微\n太左邊了。
The %s is a\nlittle too right	%s 稍微\n太右邊了。
searching...	搜尋中...
THAT'S THE RUMMY! The one there in the middle. I'd never furget his mean looking mug.	就是那個醉漢！中間那個。我永遠忘不了他那張兇狠的臉。
No Match	查無相符。
Steve Rocklin	Steve Rocklin
M/W 6'2" 210 red/hzl	男/白 身高 6'2" 體重 210 紅髮/榛色眼
Address Jan/89	住址 1989 年 1 月
214 Pigeon Ct.	214 Pigeon Ct.
Gibbon U.S.A.	Gibbon U.S.A.
SUMMARY	犯罪記錄摘要
Convicted on two counts of burglary 6/23/85. Sentenced to 5 years in state penitentiary. Paroled 6/25/88 and is currently serving 3 years probation.	因兩項竊盜罪於 1985 年 6 月 23 日被判。判處州監獄 5 年。1988 年 6 月 25 日假釋，目前服刑觀護 3 年。
NO WANTS	查無通緝。
NOTE: Rocklin associates with, and at one time was known to be a member of the cult "Sons of Darkness." It is suspicioned the cult deals in the sale of "crack" cocaine.	備註：Rocklin 與「黑暗之子」邪教有聯繫，曾為該邪教成員。懷疑該邪教涉及「快克」古柯鹼販售。
Now, if you would give a general description.	現在，如果你能提供一般描述。
He was a mean lookin' fella, all dark and hairy.	他看起來是個兇狠的傢伙，又黑又毛茸茸。
A real sour face with a hawkish nose, sharp, beady eyes and a leery brow.	真正的臭臉，鷹鉤鼻，銳利的小眼睛和猥瑣的眉毛。
Naw his face is too wide.	不，他的臉太寬了。
Naw his face is too narrow.	不對，他的臉太窄了。
Yea his face look right.	是的，他的臉看起來對。
MOUSE\nClick mouse on menu items, feature buttons, and arrows to cycle through each feature. Press and hold to move sliders.\nKEYS\nUse TAB key to select features, arrow keys to move sliders, and alpha keys to select menu items. Use the N and B keys to select the next and previous feature.\nJOYSTICK\nMove cursor to menus, arrows, selections, sliders, and press a button. Hold the button down to move sliders	滑鼠\n按一下功能表項目、功能按鈕和箭頭來循環切換各個功能。按住可移動滑桿。\n鍵盤\n用 TAB 鍵選擇功能，用方向鍵移動滑桿，用字母鍵選擇功能表項目。用 N 和 B 鍵選擇上一個和下一個功能。\n搖桿\n移動游標到功能表、箭頭、選項和滑桿，然後按下按鈕。按住按鈕可移動滑桿
Your pattern has formed a perfect pentagram. Can this show the location of the next murder?	你的標記形成了完美的五角星。這能顯示下一起謀殺案的位置嗎？
Come now. There aren't that many homicides you're working on Sonny.	別瞎說。你正在查的命案還沒那麼多，Sonny。
Enter case number: 	輸入案號：
Invalid Entry	無效輸入
- EVIDENCE/ANALYSIS -	- 證物/分析 -
VICTIM - 	受害人 -
LOCATION - 	地點 -
SUSPECT - 	嫌犯 -
DATE - 	日期 -
TIME - 	時間 -
INVESTIGATOR - 	偵查員 -
CAUSE OF DEATH -	死因 -
WEAPON USED -	使用武器 -
SUMMARY -	概要 -
MOTIVE -	動機 -
DISPOSITION -	結案情況 -
New Case Number: 199146	新案號：199146
New Case Number: 199145	新案號：199145
Based on the information you obtained at the murder scene, you open up a new file on the Dent murder.	根據你在謀殺現場取得的資訊，你開立了 Dent 謀殺案的新檔案。
Enter serial number: 	輸入序號：
U.S. Army Bronze Star	美國陸軍銅星獎
Awarded to Samuel Britt, Infantry	頒授予陸軍步兵 Samuel Britt
For meritorious Service during WWII.	因在第二次世界大戰期間功績卓著。
Samuel Britt murder victim	Samuel Britt 謀殺案受害人
See case number #199124	參閱案號 #199124
Identified	已辨識
NOTICE TO APPEAR	交通傳票
Name - 	姓名 -
Street - 	街道 -
City - 	城市 -
DL - 	駕照 -
Sex - 	性別 -
Eye - 	眼色 -
Hair - 	髮色 -
WT - 	體重 -
HT - 	身高 -
Time - 	時間 -
Reg Exp - 	登記到期 -
Year - 	年份 -
Make - 	廠牌 -
Vehicle Code - 	車輛法規代碼 -
You must first insert the violator's license into the computer.	你必須先把違規人的駕照插入電腦。
Enter vehicle ID: 	輸入車輛編號：
Enter vehicle license number: 	輸入車牌號碼：
Enter driver's ID: 	輸入駕駛人編號：
You can't give this guy a traffic citation. He wasn't driving a car.	你不能給這傢伙開罰單。他不是在開車。
Enter Military Time	輸入軍用時間
Enter vehicle code: 	輸入車輛法規代碼：
Departmental Action	部門行動
But, for now, let the cleanup crew do their job and the Guilty sleep their dreamless sleep. For you, there's suddenly nothing more important than seeing Marie.	但目前為止，讓清理人員做他們的工作，讓有罪的人沈睡。對你來說，突然間沒有什麼比見到 Marie 更重要了。
I don't think I'll ever be able to look at you again without feeling what I feel right now - without remembering what a miracle it is just to hold you.	我想我再也無法看著你，而不去感受現在的感受——而不去銘記擁抱你是多大的奇蹟。
Speaking of miracles...Dr. Powers has just given me a bit of news... 	說到奇蹟……Powers 醫生剛才告訴我一個好消息……
Oh Sonny...	噢 Sonny……
We're going to HAVE A BABY!	我們要有寶寶了！
a-abab- A BABY?	啊、啊啊、啊— 寶寶？
ACTORS:	演員：
You interrupt Earl's reading...	你打斷了 Earl 的閱讀……
What's new in the local rag, Earl?	Earl，地方報紙有什麼新聞嗎？
Hey, look! There's some lady offerin' a reward for information on the whereabouts of her dog, 'Lucky'.	嘿，看這個！有個女人在懸賞尋找她的狗「Lucky」的下落。
Too bad I missed that Pink Mongoloid concert last week!	太可惜了，我上星期沒趕上那場 Pink Mongoloid 演唱會！
Here's one for ya, Sonny. A chick lost her gold-plated breast-cones at Spunky's last night. Says here she took them off so that they wouldn't rust during the 'wet t-shirt contest'.	這個給你，Sonny。一個姐兒昨晚在 Spunky's 掉了她的鍍金胸墊。她說她脫下來是不想在「濕 T 恤大賽」時生鏽。
You ain't happened to of seen a three-legged, one-eyed, appendix-scarred, deaf, toothless, poodle-mix mutt wanderin' around the nuclear plant, have ya?	你沒在核電廠附近看到過一隻三條腿、獨眼、有闌尾疤痕、聾子、掉光牙齒的貴賓雜毛狗吧？
They're offerin' a reward for witnesses to those twenty people being trampled to death. Geez, and to think I missed all the fun!	他們懸賞尋找那二十人被踐踏致死事件的證人。天啦，想想我居然沒趕上這場好戲！
$100.00 to the lucky finder. Of course, it'd be worth it just to keep 'em if they fit.	一百美元給幸運的尋獲者。當然啦，如果穿得下的話光是自己留著就值本錢了。
Looks like you're getting bored Hanks.	看起來你在無聊消遣，Hanks。
Nope, I'm just trying to see if there's a particular pattern to these homicides by marking the locations.	不是，我只是想把各起命案的地點標記出來，看看有沒有什麼特殊規律。
Not listening to what your saying Earl mumbles to himself...	沒在聽你說的話，Earl 喃喃自語……
I just may have to get on that dang computer to work this out.	我可能得用那破電腦來研究這個。
Earl seems lost in thought.	Earl 似乎陷入了沉思。
Earl is very possesive about his newspaper.	Earl 對他的報紙看得很緊。
Earl does not wish to dance.	Earl 不想跳舞。
The door to the judge's chambers is locked. She must not be in.	法官辦公室的門上了鎖。她一定不在裡面。
You show the newspaper article to the court reporter and tell her that you need to see the judge about this case.	你把報紙文章給書記官看，並告訴她你需要見法官談這個案子。
The court reporter is busy at the judge's bench.	書記官在法官席位前忙著。
Bullying the court reporter will only get you in big trouble.	欺負書記官只會讓你惹上大麻煩。
The reporter is busy. Besides, you don't have time for idle chit-chat.	書記官很忙。而且你也沒時間閒聊。
Get real Bonds!	面對現實吧，Bonds！
Testing... reality check ... testing...	測試……現實檢查……測試……
Come on Bonds! Can't you see the lady's busy? If you don't have anything to say then leave her alone.	拜託，Bonds！你看不出那女人在忙嗎？你要是沒什麼話說，就別打擾她了。
Yes Officer, can I help you?	好的警官，有什麼我能幫助的嗎？
She really isn't interested in that.	她對那個真的不感興趣。
You're not here to sit around.	你不是來這裡閒坐的。
Quit fooling around and stick to the matter at hand.	別瞎搞了，專心處理手邊的事。
Registration expires 8/31/92	登記到期日 8/31/92
 - License number 34567	 - 駕照號碼 34567
Vehicle Id 77668	車輛編號 77668
 - Make Mercedes	 - 廠牌 Mercedes
 - Year model 90	 - 年份型號 90
Orpheus Hanley	Orpheus Hanley
201 Fig St.	201 Fig St.
Lytton, U.S.A	Lytton, U.S.A
Registration expires 3/6/92	登記到期日 3/6/92
 - License number 83756	 - 駕照號碼 83756
Vehicle Id 09823	車輛編號 09823
 - Make Ford	 - 廠牌 Ford
 - Year model 86	 - 年份型號 86
Janice Wilks	Janice Wilks
420 Fourth St.	420 Fourth St.
Registration Exempt	豁免登記
 - License number 12896	 - 駕照號碼 12896
Vehicle Id 99947	車輛編號 99947
 - Make Dodge	 - 廠牌 Dodge
 - Year model 89	 - 年份型號 89
Co. of Jackson (Sheriff Dept.)	Jackson 縣（警長辦公室）
100 Quail Dr.	100 Quail Dr.
Gibbon, U.S.A	Gibbon, U.S.A
Registration expires 6/1/92	登記到期日 6/1/92
 - License number 22776	 - 駕照號碼 22776
Vehicle Id 88996	車輛編號 88996
 - Year model 59	 - 年份型號 59
Juan Jose Ruiz	Juan Jose Ruiz
1115 Lilly St.	1115 Lilly St.
Registration expires 7/15/92	登記到期日 7/15/92
 - License number 01923	 - 駕照號碼 01923
Vehicle Id 69444	車輛編號 69444
Joseph Hoss	Joseph Hoss
526 Tenth St.	526 Tenth St.
Registration expires 6/1/56	登記期限：1956 年 6 月 1 日
 - License number 84016	 - 駕駛執照號碼 84016
Vehicle Id 08996	車輛編號 08996
 - Year model 73	 - 年份 73
Charles Tip	Charles Tip
124 Stem St.	124 Stem St.
Registration expires 11/25/92	登記期限：1992 年 11 月 25 日
 - License number 22775	 - 駕駛執照號碼 22775
Vehicle Id 88116	車輛編號 88116
 - Make Pontiac	 - 廠牌 Pontiac
 - Year model 67	 - 年份 67
Bart Dodd	Bart Dodd
820 Peach St.	820 Peach St.
#654321   Class C	#654321   Class C
Lytton, U.S.A.	Lytton, U.S.A.
Sex: F   Hair: Brn   Eyes: Brn	性別：女   頭髮：棕色   眼睛：棕色
Ht: 5'06" Weight: 125  D.O.B: 04/22/65	身高：5'06" 體重：125  出生年月日：1965 年 4 月 22 日
#145698   Class C	#145698   Class C
Stephen Parker	Stephen Parker
4177 Dove Ct.	4177 Dove Ct.
Gibbon, U.S.A.	Gibbon, U.S.A.
Sex: M   Hair: Brn   Eyes: Brn	性別：男   頭髮：棕色   眼睛：棕色
Ht: 6'02" Weight: 220  D.O.B: 08/16/41	身高：6'02" 體重：220  出生年月日：1941 年 8 月 16 日
#522341   Class C	#522341   Class C
Sex: M   Hair: Blk   Eyes: Brn	性別：男   頭髮：黑色   眼睛：棕色
Ht: 5'11" Weight: 140  D.O.B: 02/06/67	身高：5'11" 體重：140  出生年月日：1967 年 2 月 6 日
#434301   Class C	#434301   Class C
Ht: 6'01" Weight: 280  D.O.B: 08/01/66	身高：6'01" 體重：280  出生年月日：1966 年 8 月 1 日
#836702   Class C	#836702   Class C
Sex: M   Hair: Gry   Eyes: Blu	性別：男   頭髮：灰色   眼睛：藍色
Ht: 5'08" Weight: 170  D.O.B: 04/22/55	身高：5'08" 體重：170  出生年月日：1955 年 4 月 22 日
#789612   Class C	#789612   Class C
Brian Forbes	Brian Forbes
120 Peach.	120 Peach.
Ht: 5'06" Weight: 90  D.O.B: 02/19/63	身高：5'06" 體重：90  出生年月日：1963 年 2 月 19 日
#980453   Class C	#980453   Class C
Andrew Dent	Andrew Dent
1019 River Road	1019 River Road
Ht: 5'09" Weight: 190  D.O.B: 10/25/40	身高：5'09" 體重：190  出生年月日：1940 年 10 月 25 日
Blk	黑色
Brn	棕色
Mercedes	Mercedes
Ford	Ford
Gry	灰色
Blu	藍色
NAME	姓名
BADGE	警章編號
DIVISION	部門
STATUS	狀態
SEX	性別
HEIGHT	身高
WEIGHT	體重
NULL	空值
Aimes, Sidney	Aimes, Sidney
Non-Uniform	便服
Administrative	行政科
Active	在職
Banks, Joseph	Banks, Joseph
Traffic	交通組
Bock, Jon	Bock, Jon
PQ3 art team.	警察故事 3 美術組。
Video viper	影片毒蛇
Written reprimand for conducting two sessions of video capture without film.	因進行兩次未裝影片的錄影擷取而被書面警告。
Bonds, Sonny	Bonds, Sonny
Homicide	命案組
Promoted to Detective Sergeant 1991	1991 年晉升為警探警佐
Cardinal, Jane	Cardinal, Jane
LL5 art.	LL5 美術組。
Pencil sketch maniac.	鉛筆素描狂人。
150 Lbs	150 磅
Hats off to the Lytton P.D. Caricature champion.	向 Lytton 警局漫畫冠軍致敬。
Childs, John	Childs, John
Police Officer of the year - 1978	1978 年年度最佳警員
Crowe, Jeff	Crowe, Jeff
PQ3 art team	警察故事 3 美術組
None... yet.	暫無…
Crowe, Mark	Crowe, Mark
PQ3 art designer.	警察故事 3 美術設計。
Not enough memory to list awards. But he'll be greatly missed.	記憶體不足以列出獎項。但他將被深深懷念。
Downs, Mike	Downs, Mike
Escobar, Carlos	Escobar, Carlos
LL5 programer	LL5 程式設計師
Missing in action	失蹤
Nickname - (The Hustler), One day suspension without pay for running numbers.	綽號 - （賭徒），因非法賭博被禁薪停職一天。
Eidson, Kimberly A.	Eidson, Kimberly A.
Promotional	晉升組
Active grunt	在職基層警員
As much as she can handle.	盡她所能。
Ferrell, Frank	Ferrell, Frank
None	無
Gibbs, Martha	Gibbs, Martha
I.A. shooting review board 6/10/81: Fatal shooting of 211 suspect: Based on extensive investigation of the shooting, the review board found that the use of deadly force by the officer was justifiable.	內部審查槍擊案審查委員會 1981 年 6 月 10 日：槍殺嫌犯事件：經過詳盡調查，審查委員會認定警官使用致命武力係合理正當。
Hanks, Earl	Hanks, Earl
Sustained complaint May, 1987 Conduct unbecoming an officer Departmental disposition - two day suspension without pay.	1987 年 5 月成立控訴 不當行為 部門決議 - 禁薪停職二天。
Hartman, Desi	Hartman, Desi
LL5 art team	LL5 美術組
Maternity Leave	產假
Still beautiful in motherhood	母親風采依舊美麗
Jaco, Henry	Jaco, Henry
Promoted to sergeant 1/1/1983	1983 年 1 月 1 日晉升為警佐
Jensen, Jane	Jensen, Jane
PQ3 writing team	警察故事 3 編劇組
Active/rookie	在職／新手
Kling, George	Kling, George
Police Officer of the year - 1982 Departmental commendation 1985 for outstanding leadership during operation "Street Sweep." Promoted to sergeant 1983 Promoted to lieutenant 1986 Promoted to captain 1990.	1982 年年度最佳警員 1985 年因在「掃蕩街道」行動中的傑出領導獲部門嘉獎。1983 年晉升為警佐 1986 年晉升為中尉 1990 年晉升為警監。
Lang, Robert	Lang, Robert
Masters shooting badge 1977.	1977 年槍法大師徽章。
Larson, James	Larson, James
Hats off for superb painting ability.	為傑出繪畫能力致敬。
Law, Carl	Law, Carl
Promoted to sergeant 1985 - Reduced in rank from sergeant to traffic officer 1988 for striking a fellow officer who voiced an adverse opinion.	1985 年晉升為警佐 - 1988 年因毆打提出相反意見的同事而從警佐降職為交通警員。
Loyd, Cheri	Loyd, Cheri
LL5 art ram rod	LL5 美術組組長
Fry brain	炸腦
130 Lbs.	130 磅。
A hats off salute for her artistic contribution in PQ2 and Code Name Iceman.	向她在《警察故事 2》和《代號：冰人》中的美術貢獻致敬。
Miller, Kevin	Miller, Kevin
askJim	詢問 Jim
Morales, Pat	Morales, Pat
2/1981- Written reprimand for insubordination to a supervisor. 11/1986- One day suspension without pay for defying a direct order. 2/1/1987- I/A file opened for willful destruction of evidence- I/A inconclusive 11/5/1989- Tampering with evidence - Findings: charges dropped 5/1990- Terminated for destruction of evidence - 8/1/1990 Reinstated .	1981 年 2 月 - 因不服從主管而被書面警告。1986 年 11 月 - 因違抗直接命令被禁薪停職一天。1987 年 2 月 1 日 - 內部審查因故意銷毀證物開案 - 內部審查無定論 1989 年 11 月 5 日 - 篡改證物 - 調查結果：控訴遭駁回 1990 年 5 月 - 因銷毀證物遭解職 - 1990 年 8 月復職。
Morgan, Maurice	Morgan, Maurice
LL5 painter.	LL5 美工
L.A. runaway	L.A. 逃犯
Hats off for tremendous painting ability.	傑出的美工能力值得稱讚。
Rhodes, Kathy	Rhodes, Kathy
Vice	副處長
Smith, Daryle	Smith, Daryle
PQ3 art	《警察故事3》美術
Rookie	新人
Nickname - (the gun)	綽號 -（那支槍）
Stump, C.J.	Stump, C.J.
Swafford, Robert	Swafford, Robert
Hardware technician.	硬體技術員。
Hair brain	腦子壞掉
